episode,reward,steps,choosen_moves,random_moves
1,255,280,115,165
2,1031,258,164,94
3,1143,189,126,63
4,1041,150,110,40
5,1030,217,158,59
6,791,205,140,65
7,1014,234,179,55
8,1253,274,217,57
9,2996,544,397,147
10,1277,240,183,57
11,1024,165,127,38
12,1299,276,214,62
13,1033,235,180,55
14,611,115,89,26
15,987,276,203,73
16,605,325,233,92
17,621,123,91,32
18,1040,186,138,48
19,1147,189,141,48
20,2322,420,316,104
21,1297,252,195,57
22,635,96,70,26
23,1033,200,150,50
24,1030,215,162,53
25,212,55,41,14
26,604,145,103,42
27,246,43,31,12
28,1328,190,140,50
29,1041,187,146,41
30,1033,193,150,43
31,1919,272,205,67
32,1021,240,165,75
33,608,82,61,21
34,1032,199,148,51
35,3035,501,383,118
36,1860,291,225,66
37,1850,249,184,65
38,1714,277,200,77
39,1688,237,183,54
40,1048,193,144,49
41,1032,202,143,59
42,1904,309,242,67
43,1343,206,156,50
44,1437,162,122,40
45,3044,447,345,102
46,1181,191,149,42
47,1919,276,202,74
48,2339,429,307,122
49,601,109,78,31
50,1041,181,132,49
51,1034,172,122,50
52,1319,210,157,53
53,1140,221,171,50
54,1152,188,158,30
55,620,89,63,26
56,1052,123,92,31
57,250,42,31,11
58,1321,189,133,56
59,1068,152,114,38
60,2350,374,280,94
61,1316,257,192,65
62,216,57,41,16
63,1323,212,175,37
64,1340,236,175,61
65,3030,508,379,129
66,724,158,116,42
67,729,114,82,32
68,2613,476,367,109
69,630,126,98,28
70,1313,235,173,62
71,1330,181,134,47
72,1005,269,199,70
73,732,122,96,26
74,1126,265,197,68
75,1179,238,167,71
76,626,115,82,33
77,1895,338,264,74
78,1033,217,163,54
79,1324,252,190,62
80,250,39,30,9
81,3036,515,389,126
82,1143,197,149,48
83,1304,226,170,56
1,978,407,203,204
2,604,146,104,42
3,208,58,36,22
4,654,126,90,36
5,618,112,85,27
6,1037,217,163,54
7,921,361,278,83
8,615,190,138,52
9,1230,348,271,77
10,958,320,246,74
11,1051,246,187,59
12,569,137,115,22
13,625,101,78,23
14,1330,250,185,65
15,1165,417,323,94
16,1785,369,273,96
17,238,46,38,8
18,1040,172,142,30
19,618,138,98,40
20,1323,224,177,47
21,1035,230,171,59
22,719,176,126,50
23,1299,322,234,88
24,728,220,164,56
25,624,129,96,33
26,1296,297,216,81
27,1121,263,207,56
28,767,217,160,57
29,814,460,340,120
30,2920,733,566,167
31,1131,240,188,52
32,1020,257,199,58
33,1030,209,154,55
34,1290,301,221,80
35,1129,255,194,61
36,2627,551,419,132
37,1036,226,168,58
38,1115,261,184,77
39,1041,219,171,48
40,610,133,98,35
41,1151,214,169,45
42,1119,277,209,68
43,1125,266,215,51
44,2317,498,378,120
45,1308,231,164,67
46,1040,215,166,49
47,627,126,89,37
48,3018,557,420,137
49,1026,242,177,65
50,1121,257,191,66
51,3032,528,394,134
52,627,119,92,27
53,2999,666,491,175
54,2605,540,395,145
55,1031,230,175,55
56,1136,203,152,51
57,713,154,110,44
58,3024,592,437,155
59,1027,265,193,72
60,621,110,87,23
61,1036,235,183,52
62,1298,300,229,71
63,731,198,148,50
64,1122,247,192,55
65,1307,280,215,65
66,1411,296,220,76
67,1031,228,165,63
68,232,50,36,14
69,1299,332,245,87
70,208,57,35,22
71,2988,653,485,168
72,609,134,102,32
73,1033,240,173,67
74,1263,328,259,69
75,1309,261,198,63
76,3023,594,446,148
77,1036,222,173,49
78,626,134,106,28
79,787,227,170,57
80,616,125,89,36
81,1031,221,158,63
82,730,199,134,65
83,3009,618,450,168
1,792,591,304,287
2,1673,326,243,83
3,1033,251,183,68
4,1310,258,187,71
5,1042,188,146,42
6,1307,282,210,72
7,1025,231,169,62
8,238,49,36,13
9,710,200,154,46
10,1017,250,196,54
11,2342,451,351,100
12,2342,452,339,113
13,1302,260,202,58
14,1310,237,179,58
15,1038,207,154,53
16,1416,265,200,65
17,2614,498,376,122
18,1037,230,172,58
19,1111,260,206,54
20,231,50,39,11
21,1029,251,184,67
22,1039,224,177,47
23,1023,240,176,64
24,1308,290,215,75
25,617,124,94,30
26,1427,288,219,69
27,609,134,106,28
28,1820,381,276,105
29,1492,384,274,110
30,1327,259,203,56
31,1328,283,221,62
32,616,123,88,35
33,1876,402,308,94
34,2611,490,365,125
35,615,123,93,30
36,617,137,106,31
37,1031,218,165,53
38,1120,284,214,70
39,2334,486,369,117
40,1048,194,145,49
41,1036,228,175,53
42,1309,291,224,67
43,1032,229,178,51
44,2288,575,426,149
45,625,133,98,35
46,1159,284,211,73
47,2308,519,390,129
48,2592,555,433,122
49,1038,233,177,56
50,1405,275,207,68
51,1125,260,193,67
52,1103,291,215,76
53,1040,239,184,55
54,2992,646,481,165
55,1015,283,209,74
56,3007,642,484,158
57,1817,416,296,120
58,1123,223,169,54
59,622,118,86,32
60,1011,249,183,66
61,627,120,89,31
62,628,119,91,28
63,2998,673,524,149
64,1407,308,220,88
65,1034,216,168,48
66,1023,260,205,55
67,1126,247,194,53
68,1120,251,180,71
69,1306,279,217,62
70,629,124,92,32
71,1165,242,182,60
72,1047,229,178,51
73,1289,299,237,62
74,1037,196,149,47
75,627,121,95,26
76,1534,332,256,76
77,1030,214,163,51
78,2325,491,369,122
79,1798,394,296,98
80,231,51,38,13
81,1302,264,200,64
