time,episode,reward,steps,choosen_moves,random_moves
2,1,2245,734,419,315
3,2,2451,533,417,116
4,3,3367,765,574,191
5,4,1445,265,204,61
6,5,2651,586,444,142
7,6,2942,660,490,170
8,7,3019,706,547,159
9,8,1893,487,361,126
10,9,2034,647,477,170
11,10,2289,545,401,144
12,11,1463,327,240,87
13,12,1442,689,494,195
14,13,2636,843,627,216
15,14,2308,534,416,118
16,15,1007,250,181,69
17,16,1760,713,537,176
18,17,1988,535,407,128
19,18,1938,492,366,126
20,19,1374,415,303,112
21,20,1239,671,492,179
22,21,902,283,198,85
23,22,1173,485,340,145
24,23,632,366,271,95
25,24,652,146,115,31
26,25,1070,214,161,53
27,26,411,494,362,132
28,27,672,139,109,30
29,28,-4403,2357,1785,572
30,29,674,136,98,38
31,30,745,351,255,96
32,31,674,137,111,26
33,32,480,397,299,98
34,33,663,147,96,51
35,34,397,443,332,111
36,35,-4092,2784,2059,725
37,36,-4959,2574,1936,638
38,37,674,142,106,36
39,38,1015,209,169,40
40,39,1135,300,218,82
41,40,-4655,2272,1691,581
42,41,941,263,200,63
43,42,669,138,106,32
44,43,1114,282,213,69
45,44,1416,343,258,85
46,45,1033,226,172,54
47,46,1264,338,247,91
48,47,1134,541,384,157
49,48,1768,508,390,118
50,49,1049,521,409,112
51,50,-95,902,663,239
52,51,-4372,2779,2110,669
53,52,1290,1176,910,266
54,53,-3666,2706,2014,692
55,54,2005,647,486,161
56,55,1622,672,497,175
57,56,1589,592,446,146
58,57,2044,560,418,142
59,58,1884,489,369,120
60,59,1846,641,480,161
61,60,2040,750,565,185
62,61,1861,533,394,139
63,62,2388,803,609,194
64,63,2236,727,528,199
65,64,1908,622,472,150
66,65,2481,528,394,134
67,66,1820,422,301,121
68,67,1648,453,334,119
69,68,2260,585,449,136
70,69,947,264,199,65
71,70,1308,351,271,80
72,71,1321,324,231,93
73,72,2303,579,442,137
74,73,2524,793,598,195
75,74,1504,791,613,178
76,75,438,1109,851,258
77,76,1773,657,496,161
78,77,2199,476,353,123
79,78,1952,731,553,178
80,79,998,227,162,65
81,80,-3942,2649,1950,699
82,81,1860,610,448,162
83,82,1401,303,216,87
84,83,1471,354,252,102
85,84,1341,557,417,140
86,85,1220,389,279,110
87,86,1539,602,463,139
88,87,2105,895,664,231
89,88,2148,764,561,203
90,89,1721,583,448,135
91,90,2348,807,584,223
92,91,-4933,2420,1848,572
93,92,348,1162,878,284
94,93,886,289,218,71
95,94,2298,922,690,232
96,95,926,253,182,71
97,96,1343,379,281,98
98,97,2488,696,528,168
99,98,1690,517,381,136
100,99,2839,821,614,207
101,100,1917,671,511,160
102,101,1748,829,607,222
103,102,1316,345,260,85
104,103,2264,615,468,147
105,104,1320,1117,843,274
106,105,1427,566,438,128
107,106,1745,499,374,125
108,107,1683,791,617,174
109,108,1823,567,417,150
110,109,1236,618,470,148
111,110,2039,628,454,174
112,111,1405,297,219,78
113,112,1613,1083,819,264
114,113,2201,595,460,135
115,114,1831,533,410,123
116,115,1740,614,465,149
117,116,2276,904,681,223
118,117,1977,1065,800,265
119,118,1075,563,414,149
120,119,1178,432,324,108
121,120,2465,816,617,199
122,121,1878,505,372,133
123,122,2116,679,492,187
124,123,2163,637,482,155
125,124,1671,709,543,166
126,125,1992,607,451,156
127,126,1190,419,312,107
128,127,1386,315,245,70
129,128,1753,711,541,170
130,129,2136,657,493,164
131,130,2243,715,525,190
132,131,2015,569,416,153
133,132,1460,676,505,171
134,133,1259,564,416,148
135,134,1921,596,444,152
136,135,1880,639,490,149
137,136,2215,1157,852,305
138,137,1733,542,409,133
139,138,1073,650,493,157
140,139,1524,578,423,155
141,140,719,1216,892,324
142,141,1258,452,332,120
143,142,244,1619,1209,410
144,143,1799,664,492,172
145,144,1237,450,342,108
146,145,921,679,494,185
147,146,1237,730,543,187
148,147,1451,748,559,189
149,148,1136,470,364,106
150,149,1555,1059,793,266
151,150,1028,1065,808,257
152,151,1729,459,338,121
153,152,434,1620,1180,440
154,153,866,729,564,165
155,154,-735,2257,1693,564
156,155,1062,888,690,198
157,156,1607,462,352,110
158,157,1820,414,306,108
159,158,2017,669,504,165
160,159,1823,595,436,159
161,160,1056,498,372,126
162,161,2099,809,619,190
163,162,1898,769,581,188
164,163,818,1201,895,306
165,164,1412,449,326,123
166,165,1281,390,275,115
167,166,725,1651,1219,432
168,167,1405,329,247,82
169,168,1301,875,646,229
170,169,-2792,2416,1809,607
171,170,1765,393,287,106
172,171,1384,302,232,70
173,172,1922,565,428,137
174,173,1482,401,300,101
175,174,1350,414,315,99
176,175,1481,544,414,130
177,176,1250,1019,777,242
178,177,1790,643,473,170
179,178,2406,1119,839,280
180,179,1339,426,312,114
181,180,1223,481,364,117
182,181,1609,1091,833,258
183,182,1222,388,279,109
184,183,1725,455,353,102
185,184,1113,407,314,93
186,185,1542,714,555,159
187,186,456,1331,974,357
188,187,1739,739,561,178
189,188,1234,430,330,100
190,189,1398,707,538,169
191,190,1786,1079,810,269
192,191,1870,547,402,145
193,192,2413,783,567,216
194,193,1841,461,341,120
195,194,1103,365,275,90
196,195,2064,495,382,113
197,196,1722,485,357,128
198,197,1363,354,271,83
199,198,1105,449,312,137
200,199,2264,739,567,172
201,200,9,1877,1377,500
202,201,1753,645,480,165
203,202,1528,602,435,167
204,203,1730,476,341,135
205,204,1512,424,321,103
206,205,1955,569,441,128
207,206,1297,380,278,102
208,207,1419,308,231,77
209,208,2109,669,516,153
210,209,1704,492,359,133
211,210,1906,515,381,134
212,211,1066,768,567,201
213,212,1217,598,448,150
214,213,1756,593,449,144
215,214,1727,448,354,94
216,215,1699,455,342,113
217,216,2012,719,522,197
218,217,1586,573,437,136
219,218,1401,506,368,138
220,219,1893,639,480,159
221,220,2155,716,519,197
222,221,2209,576,450,126
223,222,2027,718,546,172
224,223,1898,1621,1202,419
225,224,175,1692,1252,440
226,225,1283,445,318,127
227,226,1480,355,258,97
228,227,2047,787,592,195
229,228,2242,636,482,154
230,229,1826,603,455,148
231,230,1582,689,526,163
232,231,2398,766,582,184
233,232,2503,919,683,236
234,233,1768,819,612,207
235,234,1589,522,387,135
236,235,1627,622,456,166
237,236,2478,868,654,214
238,237,1312,778,584,194
239,238,1938,993,765,228
240,239,1837,668,496,172
241,240,1571,430,322,108
242,241,1769,455,315,140
243,242,2126,808,577,231
244,243,2122,581,427,154
245,244,-201,1140,850,290
246,245,2016,508,399,109
247,246,2667,858,634,224
248,247,1814,587,447,140
